,true_f,true_p,p
0,3.5096339451795175e-05,2.213016601932135e+158,158.34498467199344
100,0.0035447302846313127,3.537668818911836e+124,124.54871717372598
200,0.0070543642298108306,1.039093006525832e+117,117.01665442187209
300,0.010563998174990348,1.1191952123780925e+117,117.0489058436905
400,0.014073632120169864,1.1613090833631165e+115,115.06494782295505
500,0.017583266065349382,2.3558023933395327e+112,112.37213885866115
600,0.0210929000105289,1.0933768920990747e+109,109.0387698910848
700,0.024602533955708418,1.3412075126791309e+107,107.12749597743345
800,0.028112167900887934,5.66889041046135e+103,103.75349806140234
900,0.03162180184606745,2.5812198494140234e+106,106.41182499614446
1000,0.03513143579124697,2.614446939660744e+102,102.41737983222558
1100,0.03864106973642649,2.7607627704373165e+106,106.44102908975538
1200,0.042150703681606005,4.0139683535684445e+99,99.60357394415426
1300,0.04566033762678552,8.319699839320898e+98,98.92010765796402
1400,0.04916997157196504,3.272334513235505e+104,104.51485769286805
1500,0.05267960551714456,1.0499728366953329e+100,100.02117806380716
1600,0.05618923946232408,1.546856982907867e+101,101.18945016217697
1700,0.05969887340750359,1.8975296462015675e+103,103.27818856985404
1800,0.06320850735268312,8.872985784443128e+92,92.94806978572915
1900,0.06671814129786263,1.0824526912388428e+99,99.03440892453312
2000,0.07022777524304215,1.4844087208490803e+100,100.17155349714906
2100,0.07373740918822166,1.2180533409554706e+101,101.08566630732426
2200,0.07724704313340118,3.8203901368720646e+95,95.58210771517327
2300,0.0807566770785807,3.518583504109606e+87,87.54636786229639
2400,0.08426631102376021,3.560290984924026e+89,89.55148549459715
2500,0.08777594496893973,2.5663820499232923e+95,95.4093213090236
2600,0.09128557891411924,2.266081873473998e+96,96.35527559685819
2700,0.09479521285929876,1.2922508144416665e+96,96.11134681455411
2800,0.09830484680447829,1.2960271443797514e+97,97.11261409762322
2900,0.1018144807496578,1.710320587456016e+98,98.233077523441
3000,0.10532411469483732,1.2459105806663807e+96,96.09548687401119
3100,0.10883374864001684,1.0989257202949664e+91,91.0409683381412
3200,0.11234338258519636,9.863656153915559e+93,93.99403792438858
3300,0.11585301653037587,6.377495547817247e+96,96.80465016409734
3400,0.11936265047555539,1.2872453440516316e+97,97.10966132966506
3500,0.1228722844207349,7.852803797167074e+91,91.89502474671093
3600,0.12638191836591442,2.2682139862611268e+91,91.35568402406062
3700,0.12989155231109395,4.186540102149947e+90,90.62185525559663
3800,0.13340118625627345,2.237611761195574e+96,96.34978473608108
3900,0.13691082020145298,6.36662427654765e+89,89.80390922092764
4000,0.14042045414663248,6.324027126421961e+92,92.80099372413653
4100,0.14393008809181201,3.378519367362377e+94,94.52872641286126
4200,0.14743972203699152,7.174514133458731e+91,91.85579249546839
4300,0.15094935598217105,1.9049744378903194e+94,94.27988915242231
