,true_f,true_p,p
12396,0.4350893201839048,6.724596865210479e+89,89.82766625381015
12397,0.4351244165233566,3.0413703947217094e+89,89.48306931412247
12398,0.43515951286280835,2.9001228574466336e+87,87.46241639623722
12399,0.43519460920226016,1.0303084493420264e+85,85.01296726139772
12400,0.435229705541712,4.2190062975377513e+85,85.62521017363594
12401,0.43526480188116373,2.087785535239524e+87,87.31968588434663
12402,0.43529989822061554,9.326857229529822e+87,87.96973532886943
12403,0.43533499456006736,2.683526827457425e+88,88.42870594132549
12404,0.43537009089951917,4.328667835699653e+88,88.63635426110596
12405,0.4354051872389709,7.4643489073121425e+87,87.87299193151267
12406,0.43544028357842274,1.0176616593008057e+87,87.00760341265462
12407,0.43547537991787455,3.304011261969103e+86,86.51904151897604
12408,0.4355104762573263,1.2087425516328404e+86,86.08233381094237
12409,0.4355455725967781,1.2445307026606255e+85,85.09500561515242
12410,0.43558066893622993,7.321242101596013e+84,84.86458476850467
12411,0.4356157652756817,4.704759588315044e+85,85.67253743602348
12412,0.4356508616151335,2.4590520153768962e+85,85.3907677152992
12413,0.4356859579545853,5.257702685700345e+84,84.72079602383758
12414,0.43572105429403707,4.2267887584404155e+84,84.62601054370408
12415,0.4357561506334889,4.065439035010227e+83,83.60910745280499
12416,0.4357912469729407,9.900242747137736e+81,81.99564584332987
12417,0.4358263433123925,5.12959785509451e+80,80.71008331907689
12418,0.43586143965184426,7.459540038038681e+78,78.8727120493091
12419,0.4358965359912961,4.119109330598623e+79,79.61480331927993
12420,0.4359316323307479,1.134656737512816e+83,83.05486449628549
12421,0.43596672867019964,6.653533003020231e+84,84.82305231541937
12422,0.43600182500965146,6.121511303464222e+84,84.7868586557611
12423,0.43603692134910327,3.422508349181303e+82,82.53434451626518
12424,0.436072017688555,1.0730953511398814e+80,80.0306383134236
12425,0.43610711402800684,1.2966233646616872e+76,76.11281384315939
12426,0.43614221036745865,8.269665022109035e+73,73.91748791801736
12427,0.4361773067069104,6.045920658523371e+78,78.78146244357094
12428,0.4362124030463622,3.5299563065327696e+79,79.54776932976483
12429,0.43624749938581403,2.818840419531785e+77,77.45007049024603
12430,0.43628259572526584,4.582650982898597e+74,74.66111678240884
12431,0.4363176920647176,2.9061534136455507e+74,74.4633185366451
12432,0.4363527884041694,4.689381998869424e+76,76.67111561197616
12433,0.4363878847436212,2.9358853912358616e+80,80.46773909793158
12434,0.436422981083073,5.0870933677829765e+82,82.70646970868322
12435,0.4364580774225248,3.406734580959088e+82,82.53233829895822
12436,0.4364931737619766,9.048790903177857e+81,81.95659055277885
12437,0.43652827010142836,2.284002637757178e+82,82.35869660113367
12438,0.4365633664408802,1.2303289957272252e+83,83.09002125934482
12439,0.436598462780332,5.562511195050578e+83,83.7452708980463
12440,0.43663355911978374,5.334495075218977e+83,83.7270933185264
12441,0.43666865545923556,5.119020265626137e+83,83.70918684887671
12442,0.43670375179868737,4.249049689502929e+83,83.62829180987293
12443,0.4367388481381392,1.514910553960414e+85,85.18038699120915
12444,0.43677394447759094,3.2536951186290935e+86,86.51237685576115
12445,0.43680904081704275,4.247274804852645e+86,86.62811036138392
12446,0.43684413715649456,2.197634057971863e+85,85.34195537697067
12447,0.4368792334959463,2.241000319228036e+82,82.35044191839984
12448,0.43691432983539813,7.030608246602419e+80,80.84699289923263
12449,0.43694942617484994,6.3305676225140085e+84,84.80144265224067
12450,0.4369845225143017,1.3528875612620228e+87,87.13126170380191
12451,0.4370196188537535,1.617119860625837e+88,88.20874221092632
12452,0.4370547151932053,3.464584513500184e+88,88.53965115978087
12453,0.4370898115326571,4.302160320751245e+87,87.63368659041227
12454,0.4371249078721089,2.453354552845219e+86,86.38976031592642
12455,0.4371600042115607,1.751203438273005e+86,86.24333660124462
12456,0.4371951005510125,1.6829089740057003e+87,87.22606062628115
12457,0.4372301968904643,3.6938033844175e+87,87.56747377487925
12458,0.4372652932299161,1.8102242298536487e+87,87.25773237362974
12459,0.4373003895693679,3.7925222879462844e+87,87.57892814173395
12460,0.43733548590881965,1.4549356029948888e+89,89.16284377140929
12461,0.43737058224827147,8.544247041279875e+89,89.93167379669684
12462,0.4374056785877233,2.2066362599763795e+90,90.34373075033237
12463,0.43744077492717504,2.26492777536579e+90,90.35505435766885
12464,0.43747587126662685,6.100301233743068e+89,89.7853512810636
12465,0.43751096760607866,2.8635628406829244e+88,88.45690671811545
12466,0.4375460639455305,5.432539761743022e+88,88.73500291368421
12467,0.43758116028498223,3.415668487421033e+89,89.5334757129917
12468,0.43761625662443404,9.19173112447349e+89,89.96339731193073
12469,0.43765135296388585,7.401068574451013e+89,89.86929442817477
12470,0.4376864493033376,2.148496574978732e+89,89.33213466569084
12471,0.4377215456427894,3.0321287660898263e+88,88.48174764063245
12472,0.43775664198224123,1.1394647633205753e+88,88.05670089965062
12473,0.437791738321693,6.366915793960463e+88,88.80392910611323
12474,0.4378268346611448,2.9862813330919185e+89,89.47513071954907
12475,0.4378619310005966,1.2516868866654461e+89,89.09749570235658
12476,0.4378970273400484,2.151583590085482e+88,88.33275822330152
12477,0.4379321236795002,8.390789605766538e+87,87.92380283154284
12478,0.437967220018952,2.911634842788884e+88,88.46413690782995
12479,0.4380023163584038,5.665111796174003e+88,88.75320848471705
12480,0.43803741269785557,2.5214379432760878e+88,88.40164828392707
12481,0.4380725090373074,1.6949045460764086e+88,88.22914524455703
